captionText,postUrl,username
"Maudy Ayunda is pretty, smart, and motivating.
But never forget that above all of that, she is filthy rich.

If this post seems positive, then either you're reading it wrong or you don't know what's happening right now.",https://www.threads.com/@ydnpri/post/DdSQjj0kjZJ,ydnpri
"THIS!!! LOUDER AND LOUDER!!!.
BANYAK HAL YG BISA KITA PETIK DARI KEJADIAN SEORANG MAUDY AYUNDA. INI BUKAN CUMA SOAL SEORANG PUBLIC FIGURE YG MEMILIH “CARI AMAN” KETIKA MENYENTUH ISU POLITIK.

INI TENTANG KITA.
TENTANG KEPEDULIAN KITA. TENTANG SEJAUH MANA KITA MAU PEDULI KETIKA NEGERI INI SDG MENGALAMI BEGITU BANYAK BAD NEWS !!. 

SELAMA INI KITA TERLALU SERING MENDENGAR : GUE GAK MAU STRES, GUE GAK MAU OVERWHELMED, GUE GAK MAU URUSAN SAMA POLITIK, SUARA AKTIVIS AJA GAK DIDENGAR, APALAGI GUE !!.",https://www.threads.com/@dani.j303/post/DdSQQlbk1Gt,dani.j303
"Mindfulness pas lagi tenang sih gampang, tapi pas bencana melanda di mana-mana? 🫣 Ramai netizen kritik tanggapan Maudy Ayunda yang dinilai out of touch sama realita korban bencana di lapangan. Menurut kalian, kurang empati atau gimana Coba diskusi di kolom komentar! 👇

#maudyayunda #mindfulness #beritaviral #netizenindonesia #bencanaindonesia",https://www.threads.com/@peaceofmind_._._/post/DdSQNyVkhNP,peaceofmind_._._
Gila banget ya warga threads kalo ngehujat ga main2,https://www.threads.com/@yohanniefandy/post/DdRhOUmD75O,yohanniefandy
"Org2 punya masalah hidup & belum bebas finansial 
Pastinya demen julid
Justru aku kasihan banget sama org2 julid
Kaya org stress & sakit jiwa
Hidup penuh masalah & banyak penderitaan di dunia nyata🤣
Udah banyak contohnya, hujat ebe martono,hujat nakes bpjs, hujat Maudy Ayunda
Jika hidup mereka bahagia, ga ada waktu untuk julid & ngurusin urusin orang lain
Udh thn 2026, bukan waktunya takut dgn org julid, tinggal blok, beres. Fitur blok adalah kelemahan terbesar org julid",https://www.threads.com/@teddybearyayfluffy/post/DdSQJQ7j0Ct,teddybearyayfluffy
This is how you be mindfulness,https://www.threads.com/@based.indo/post/DdRdcPHj-Vo,based.indo
"THIS!!! LOUDER AND LOUDER!!!.
BANYAK HAL YG BISA KITA PETIK DARI KEJADIAN SEORANG MAUDY AYUNDA. INI BUKAN CUMA SOAL SEORANG PUBLIC FIGURE YG MEMILIH “CARI AMAN” KETIKA MENYENTUH ISU POLITIK.

INI TENTANG KITA.
TENTANG KEPEDULIAN KITA. TENTANG SEJAUH MANA KITA MAU PEDULI KETIKA NEGERI INI SDG MENGALAMI BEGITU BANYAK BAD NEWS !!. 

SELAMA INI KITA TERLALU SERING MENDENGAR : GUE GAK MAU STRES, GUE GAK MAU OVERWHELMED, GUE GAK MAU U0RUSAN SAMA POLITIK, SUARA AKTIVIS AJA GAK DIDENGAR, APALAGI GUE !!.",https://www.threads.com/@dani.j303/post/DdSQIjzk2qm,dani.j303
"Maudy Ayunda tuh nggak tone deaf kok, hanya sudah nggak relevan aja...",https://www.threads.com/@lightness_of_being_92/post/DdSQAsUj6ae,lightness_of_being_92
MAUDY AYUNDA DIKULITIN SAMA NETIZEN DARI A—Z MAMPUS GILEEEEEEEE DARI BERBAGAI PERSPEKTIF KENAAAA LOOO! Ahhaahahaha,https://www.threads.com/@hilmial12/post/DdSPrUcE1bC,hilmial12
"Rame diperdebatkan soal pernyataan Maudy Ayunda tentang Mindfullness
Dengan membandingkan kondisi Maudy dengan orang yang ada di di tengah hutan terbakar
Kalo anda hanya seorang volunteer ikut terlibat memadamkan hutan terbakar sebaik nya mundur karena tempat itu sudah berbahaya kalo sudah tahu bahaya bagaimana anda bisa mengesampingkan perasaan ?Beda secara mental dengan petugas kebakaran yang secara mental sudah terlatih
Kalo anda sudah ketakutan dulu bagaimana bisa Mindfullness",https://www.threads.com/@ryanhairdresser/post/DdSRxevkjb0,ryanhairdresser
"Klasemen liga artis

1. Sherina
2.
3.
4.
5.
6.
..
1000. Maudy Ayunda",https://www.threads.com/@silmiluthfia/post/DdSRrt2k1gI,silmiluthfia
"Dan itu bikin aku semakin yakin: Mungkin pembaca Indonesia nggak sedikit. Kita cuma perlu lebih banyak tempat yang membuat mereka ingin membaca. Jadi, buat kamu yang suka buku... AKU MAU KETEMU KAMU. 😭📚 Mampir ke perpustakaan digitalku: 👉 rofiatulmaos.com/buku Di sana ada 200++++ ringkasan dan pembahasan buku yang bisa kamu jelajahi. Kalau kamu menemukan buku yang menarik, baca ringkasannya. Kalau semakin penasaran, beli dan baca buku aslinya. ❤️",https://www.threads.com/@rofiatulmaos/post/DdSRpsQkkmp,rofiatulmaos
"Dan kalau kamu mau membantu perjuangan kecil ini... share ke teman atau keluarga yang suka membaca. Biar aku nggak sendirian mencari para pembaca. 😭📚 Anak Pati sedang berjuang sendirian. Tapi ternyata, pembacanya nggak sendirian. 🇮🇩🌾📚 DULU GUE PENGEN BANGET BIKIN AUDIOBOOK ATAU YOUTUBE YANG BAHAS BUKU. Kayak Kak Ferry Irwandi waktu bahas Animal Farm. Kak Maudy Ayunda yang sering banget ngomongin buku. Pak Anies yang juga sering membahas buku dan ide-ide menarik.",https://www.threads.com/@rofiatulmaos/post/DdSRpOOEpSQ,rofiatulmaos
Maudy Ayunda memberikan klarifikasi dan menjawab kritikan netizen kepadanya atas unggahan video opininya soal tetap “mindfulness” di tengah berbagai berita buruk soal Indonesia beberapa waktu terakhir.,https://www.threads.com/@famedumptv/post/DdSRfWrga2n,famedumptv
"Udah si, dia masih mencari jati diri, karena masih bertanya-tanya, maudy ayu-nda? Ya nda tau, kok tanya saya.",https://www.threads.com/@aquilawilly/post/DdSRWnHE4wj,aquilawilly
